eid,qid,input_content,output_content
1,1294,"houses = [1,4,8,10,20], k = 3",5
2,1295,"nums = [12,345,2,6,7896]",2
3,1948,"paths = [[""a""],[""c""],[""d""],[""a"",""b""],[""c"",""b""],[""d"",""a""]]","[[""d""],[""d"",""a""]]"
4,1012,n = 20,1
5,821,"s = ""loveleetcode"", c = ""e""","[3,2,1,0,1,0,0,1,2,2,1,0]"
6,1559,"grid = [[""a"",""a"",""a"",""a""],[""a"",""b"",""b"",""a""],[""a"",""b"",""b"",""a""],[""a"",""a"",""a"",""a""]]",correct
7,1930,"s = ""aabca""",3
8,559,"root = [1,null,3,2,4,null,5,6]",3
9,1736,"time = ""2?:?0""","""23:50"""
10,1518,"numBottles = 9, numExchange = 3",13
11,819,"paragraph = ""Bob hit a ball, the hit BALL flew far after it was hit."", banned = [""hit""]","""ball"""
12,1968,"nums = [1,2,3,4,5]","[1,2,4,5,3]"
13,450,"root = [5,3,6,2,4,null,7], key = 3","[5,4,6,2,null,null,7]"
14,1551,n = 3,2
15,1206,"[""Skiplist"", ""add"", ""add"", ""add"", ""search"", ""add"", ""search"", ""erase"", ""erase"", ""search""]
[[], [1], [2], [3], [0], [4], [1], [0], [1], [1]]","[null, null, null, null, false, null, true, false, true, false]"
16,116,"root = [1,2,3,4,5,6,7]","[1,#,2,3,#,4,5,6,7,#]"
17,226,"root = [4,2,7,1,3,6,9]","[4,7,2,9,6,3,1]"
18,1073,"arr1 = [1,1,1,1,1], arr2 = [1,0,1]","[1,0,0,0,0]"
19,153,"nums = [3,4,5,1,2]",1
20,383,"ransomNote = ""a"", magazine = ""b""",incorrect
21,1738,"matrix = [[5,2],[1,6]], k = 1",7
22,189,"nums = [1,2,3,4,5,6,7], k = 3","[5,6,7,1,2,3,4]"
23,868,n = 22,2
24,45,"nums = [2,3,1,1,4]",2
25,673,"nums = [1,3,5,4,7]",2
26,322,"coins = [1,2,5], amount = 11",3
27,862,"nums = [1], k = 1",1
28,404,"root = [3,9,20,null,null,15,7]",24
29,1122,"arr1 = [2,3,1,3,2,4,6,7,9,2,19], arr2 = [2,1,4,3,9,6]","[2,2,2,1,4,3,3,9,6,7,19]"
30,1299,"arr = [17,18,5,4,6,1]","[18,6,6,6,1,-1]"
